row_id,player_name,college,country,draft_number,draft_round,draft_year
10835,Dean Wade,Kansas State,USA,Undrafted,Undrafted,Undrafted
10301,Deandre Ayton,Arizona,Bahamas,1,1,2018
1352,Dedric Willoughby,Iowa State,USA,Undrafted,Undrafted,Undrafted
108,Dee Brown,Jacksonville,USA,19,1,1990
9505,Dejounte Murray,Washington,USA,29,1,2016
53,Dell Curry,Virginia Tech,USA,15,1,1986
28,Dell Demps,Pacific,USA,Undrafted,Undrafted,Undrafted
8876,Delon Wright,Utah,USA,20,1,2015
3888,Delonte West,Saint Joseph's,USA,24,1,2004
4929,Demetris Nichols,Syracuse,USA,53,2,2007
9507,Demetrius Jackson,Notre Dame,USA,45,2,2016
10304,Deng Adel,None,South Sudan,Undrafted,Undrafted,Undrafted
4393,Deng Gai,Fairfield,Sudan (UK),Undrafted,Undrafted,Undrafted
6774,Dennis Horner,North Carolina State,USA,Undrafted,Undrafted,Undrafted
0,Dennis Rodman,Southeastern Oklahoma State,USA,27,2,1986
7828,Dennis Schroder,None,Germany,17,1,2013
29,Dennis Scott,Georgia Tech,USA,4,1,1990
9697,Dennis Smith Jr.,North Carolina State,USA,9,1,2017
9509,Denzel Valentine,Michigan State,USA,14,1,2016
10307,Deonte Burton,Iowa State,USA,Undrafted,Undrafted,Undrafted
1793,DerMarr Johnson,Cincinnati,USA,6,1,2000
711,Derek Anderson,Kentucky,USA,13,1,1997
30,Derek Fisher,Arkansas-Little Rock,USA,24,1,1996
709,Derek Grimm,Missouri,USA,Undrafted,Undrafted,Undrafted
31,Derek Harper,Illinois,USA,11,1,1983
1359,Derek Hood,Arkansas,USA,Undrafted,Undrafted,Undrafted
32,Derek Strong,Xavier,USA,47,2,1990
4389,Deron Williams,Illinois,USA,3,1,2005
33,Derrick Alston,Duquesne,USA,33,2,1994
5910,Derrick Brown,Xavier,USA,40,2,2009
6770,Derrick Byars,Vanderbilt,USA,42,2,2007
6464,Derrick Caracter,Texas-El Paso,USA,58,2,2010
34,Derrick Coleman,Syracuse,USA,1,1,1990
1362,Derrick Dial,Eastern Michigan,USA,52,2,1998
6465,Derrick Favors,Georgia Tech,USA,3,1,2010
9512,Derrick Jones Jr.,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted
35,Derrick McKey,Alabama,USA,9,1,1987
5468,Derrick Rose,Memphis,USA,1,1,2008
9702,Derrick Walton Jr.,Michigan,USA,Undrafted,Undrafted,Undrafted
9703,Derrick White,Colorado,USA,29,1,2017
6737,Derrick Williams,Arizona,USA,2,1,2011
4388,Derrick Zimmerman,Mississippi State,USA,40,2,2003
4661,Desmon Farmer,Southern California,USA,Undrafted,Undrafted,Undrafted
3475,Desmond Ferguson,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted
1812,Desmond Mason,Oklahoma State,USA,17,1,2000
3286,Desmond Penigar,Utah State,USA,Undrafted,Undrafted,Undrafted
36,Detlef Schrempf,Washington,USA,8,1,1985
1365,Devean George,Augsburg,USA,23,1,1999
8870,Devin Booker,Kentucky,USA,13,1,2015
2815,Devin Brown,Texas-San Antonio,USA,Undrafted,Undrafted,Undrafted
