StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
401636,3.5,1.6,0.7,3.5,46,0.063,0.11199999999999999,0.18,0.483,0.099,301636
401637,6.8,2.2,1.1,9.5,58,0.038,0.115,0.19699999999999998,0.524,0.105,301637
401638,3.3,2.7,0.1,-1.9,41,0.1,0.187,0.184,0.461,0.019,301638
401639,3.7,2.6,0.2,0.0,56,0.099,0.201,0.168,0.557,0.04,301639
401640,13.7,7.9,2.3,7.3,54,0.092,0.18,0.205,0.519,0.113,301640
401641,2.1,1.8,0.2,-14.5,56,0.095,0.18899999999999997,0.166,0.48100000000000004,0.044000000000000004,301641
401642,14.8,4.9,4.7,0.0,56,0.048,0.131,0.251,0.491,0.268,301642
401643,6.6,5.0,0.8,-0.3,82,0.11199999999999999,0.20800000000000002,0.171,0.515,0.069,301643
401644,6.4,1.9,1.2,12.0,46,0.057,0.08800000000000001,0.21,0.485,0.122,301644
401645,3.3,1.0,1.0,-16.6,23,0.013000000000000001,0.077,0.13699999999999998,0.44799999999999995,0.134,301645
401646,4.7,1.1,1.9,4.6,69,0.021,0.07,0.16399999999999998,0.557,0.21899999999999997,301646
401647,8.2,4.1,0.9,1.6,82,0.086,0.146,0.192,0.5429999999999999,0.071,301647
401648,4.8,1.6,2.2,1.4,79,0.026000000000000002,0.109,0.203,0.47600000000000003,0.254,301648
401649,22.5,6.3,4.9,10.4,66,0.046,0.128,0.266,0.546,0.215,301649
401650,5.6,2.5,0.5,-15.3,32,0.06,0.149,0.19899999999999998,0.493,0.065,301650
401651,8.0,6.3,1.0,2.9,80,0.09300000000000001,0.209,0.17,0.542,0.07,301651
401652,8.4,5.0,1.0,-6.4,58,0.083,0.162,0.193,0.48100000000000004,0.08,301652
401653,16.6,7.8,4.2,-8.2,76,0.063,0.18,0.23399999999999999,0.521,0.19899999999999998,301653
401654,15.9,5.7,1.8,-3.7,74,0.057999999999999996,0.139,0.242,0.517,0.10099999999999999,301654
401655,1.5,1.5,0.0,-27.2,22,0.08900000000000001,0.20800000000000002,0.152,0.456,0.015,301655
401656,1.5,0.8,0.8,-1.5,33,0.01,0.111,0.159,0.386,0.185,301656
401657,15.0,4.3,2.5,-8.6,82,0.049,0.11599999999999999,0.27399999999999997,0.467,0.162,301657
401658,10.7,5.4,2.5,2.0,70,0.046,0.151,0.17300000000000001,0.517,0.127,301658
401659,18.6,4.3,4.0,2.9,82,0.018000000000000002,0.10400000000000001,0.24600000000000002,0.515,0.18,301659
401660,6.4,3.1,0.4,3.5,75,0.1,0.14400000000000002,0.192,0.569,0.053,301660
